date,code,action,reason,price,shares,pnl_pct
2024-07-05,300061.SZ,买入,金叉,4.23,200,0.0
2024-07-05,920207.BJ,买入,金叉,7.52,100,0.0
2024-07-08,300098.SZ,卖出,止损,4.0,200,-5.437352245862892
2024-07-08,300716.SZ,卖出,止损,7.27,100,-7.388535031847132
2024-07-08,300061.SZ,卖出,止损,3.78,200,-10.638297872340441
2024-07-08,920207.BJ,卖出,止损,7.08,100,-5.851063829787229
2024-07-08,300319.SZ,买入,金叉,9.79,100,0.0
2024-07-08,600601.SH,买入,金叉,3.04,300,0.0
2024-07-08,300462.SZ,买入,金叉,9.35,100,0.0
2024-07-09,000793.SZ,卖出,止损,1.17,800,-7.142857142857151
2024-07-09,920212.BJ,买入,金叉,7.66,100,0.0
2024-07-09,603887.SH,买入,金叉,5.66,100,0.0
2024-07-10,002198.SZ,卖出,止损,7.18,100,-7.11513583441139
2024-07-10,920223.BJ,买入,金叉,3.65,200,0.0
2024-07-10,600611.SH,买入,金叉,3.53,200,0.0
2024-07-11,603887.SH,卖出,止损,5.36,100,-5.300353356890453
2024-07-11,600733.SH,买入,金叉,9.41,100,0.0
2024-07-12,600421.SH,卖出,止损,6.19,100,-7.196401799100438
2024-07-12,300462.SZ,卖出,死叉,10.21,100,9.19786096256685
2024-07-12,300716.SZ,买入,金叉,7.88,100,0.0
2024-07-15,920223.BJ,卖出,止损,3.29,200,-9.86301369863013
2024-07-15,300716.SZ,卖出,止损,7.32,100,-7.106598984771573
2024-07-15,300240.SZ,买入,金叉,5.98,100,0.0
2024-07-15,688428.SH,买入,金叉,9.09,100,0.0
2024-07-16,002420.SZ,卖出,止损,5.03,200,-5.273069679849329
2024-07-16,920090.BJ,买入,金叉,2.97,300,0.0
2024-07-17,300245.SZ,卖出,止损,5.89,100,-7.2440944881889795
2024-07-17,300240.SZ,卖出,止损,5.56,100,-7.023411371237476
2024-07-17,600686.SH,买入,金叉,9.94,100,0.0
2024-07-18,600561.SH,买入,金叉,4.71,200,0.0
2024-07-19,601777.SH,买入,金叉,4.3,200,0.0
2024-07-22,600561.SH,卖出,止损,4.33,200,-8.067940552016983
2024-07-22,300311.SZ,买入,金叉,4.27,200,0.0
2024-07-23,600733.SH,卖出,止损,8.86,100,-5.844845908607876
2024-07-23,600711.SH,买入,金叉,4.76,200,0.0
2024-07-25,300319.SZ,卖出,止损,9.27,100,-5.311542390194068
2024-07-25,600561.SH,买入,金叉,4.72,200,0.0
2024-07-26,300311.SZ,卖出,止损,4.03,200,-5.620608899297408
2024-07-31,600601.SH,卖出,死叉,3.05,300,0.3289473684210398
2024-07-31,920553.BJ,买入,金叉,4.47,200,0.0
2024-08-01,002600.SZ,卖出,死叉,7.18,100,18.48184818481848
2024-08-01,000421.SZ,买入,金叉,5.7,100,0.0
2024-08-02,920212.BJ,卖出,止损,7.12,100,-7.049608355091386
2024-08-02,920553.BJ,卖出,止损,4.16,200,-6.9351230425055865
2024-08-02,603686.SH,买入,金叉,9.98,100,0.0
2024-08-05,603686.SH,卖出,止损,9.18,100,-8.016032064128265
2024-08-05,300287.SZ,买入,金叉,2.66,300,0.0
2024-08-06,000421.SZ,卖出,止损,5.2,100,-8.771929824561408
2024-08-06,920885.BJ,买入,金叉,6.29,100,0.0
2024-08-07,600151.SH,买入,金叉,5.29,100,0.0
2024-08-08,300287.SZ,卖出,止损,2.46,300,-7.518796992481214
2024-08-08,600151.SH,卖出,止损,4.9,100,-7.37240075614366
2024-08-08,300528.SZ,买入,金叉,7.94,100,0.0
2024-08-09,000712.SZ,买入,金叉,10.08,100,0.0
2024-08-12,600561.SH,卖出,止损,4.42,200,-6.355932203389825
2024-08-12,300528.SZ,卖出,止损,7.05,100,-11.209068010075573
2024-08-12,002685.SZ,买入,金叉,3.17,300,0.0
