date,code,strategy,reason,pnl
2025-03-03,603379.SH,红利低波,买入,0.0
2025-03-03,603655.SH,红利低波,买入,0.0
2025-03-17,002570.SZ,红利低波,调仓,10.43478260869566
2025-03-17,605599.SH,红利低波,买入,0.0
2025-03-24,002264.SZ,红利低波,买入,0.0
2025-03-24,002897.SZ,红利低波,买入,0.0
2025-03-31,000963.SZ,红利低波,调仓,26.770293609671867
2025-03-31,003041.SZ,红利低波,调仓,12.181528662420371
2025-03-31,603655.SH,红利低波,调仓,3.6331413380593647
2025-03-31,002897.SZ,红利低波,调仓,-4.37170977340352
2025-03-31,301631.SZ,红利低波,买入,0.0
2025-03-31,688786.SH,红利低波,买入,0.0
2025-03-31,300251.SZ,红利低波,买入,0.0
2025-03-31,600776.SH,红利低波,买入,0.0
2025-04-07,002043.SZ,红利低波,止损,-17.24137931034483
2025-04-07,301580.SZ,红利低波,止损,-20.255636428191014
2025-04-07,688677.SH,红利低波,止损,-23.47735554398751
2025-04-07,301631.SZ,红利低波,止损,-20.36504151936199
2025-04-07,688786.SH,红利低波,止损,-15.18138801261829
2025-04-07,300251.SZ,红利低波,止损,-14.481779460482723
2025-04-07,001332.SZ,红利低波,调仓,20.675374323032813
2025-04-07,002897.SZ,红利低波,买入,0.0
2025-04-07,002043.SZ,红利低波,买入,0.0
2025-04-07,000963.SZ,红利低波,买入,0.0
2025-04-07,003041.SZ,红利低波,买入,0.0
2025-04-07,600763.SH,红利低波,买入,0.0
2025-04-07,603115.SH,红利低波,买入,0.0
2025-04-08,600776.SH,红利低波,止损,-12.226277372262784
2025-04-14,002357.SZ,红利低波,买入,0.0
2025-04-14,600776.SH,红利低波,买入,0.0
2025-04-17,300529.SZ,红利低波,止损,-13.96604938271605
2025-04-21,300529.SZ,红利低波,买入,0.0
2025-04-28,688513.SH,红利低波,调仓,5.795275590551197
2025-04-28,603297.SH,红利低波,买入,0.0
2025-05-06,002897.SZ,红利低波,调仓,15.176151761517609
2025-05-06,600506.SH,红利低波,买入,0.0
2025-05-12,601567.SH,红利低波,调仓,-0.8758568164508818
2025-05-12,603379.SH,红利低波,调仓,22.06896551724138
2025-05-12,605599.SH,红利低波,调仓,15.045719035743987
2025-05-12,002264.SZ,红利低波,调仓,11.129568106312316
2025-05-12,600776.SH,红利低波,调仓,6.34765625
2025-05-12,600506.SH,红利低波,调仓,1.7045454545454586
2025-05-12,301631.SZ,红利低波,买入,0.0
2025-05-12,688786.SH,红利低波,买入,0.0
2025-05-12,300697.SZ,红利低波,买入,0.0
2025-05-12,001332.SZ,红利低波,买入,0.0
2025-05-19,000088.SZ,红利低波,调仓,12.10855949895615
2025-05-19,000963.SZ,红利低波,调仓,9.514773651396036
2025-05-19,600506.SH,红利低波,买入,0.0
2025-05-26,300181.SZ,红利低波,调仓,9.706703910614522
2025-05-26,001332.SZ,红利低波,调仓,3.7703995498030496
2025-05-26,300251.SZ,红利低波,买入,0.0
2025-05-26,600776.SH,红利低波,买入,0.0
2025-06-03,605005.SH,红利低波,调仓,41.68814432989689
2025-06-03,003041.SZ,红利低波,调仓,19.884393063583804
2025-06-03,688786.SH,红利低波,调仓,-1.9695280564845818
2025-06-03,300697.SZ,红利低波,调仓,-3.437094682230868
2025-06-03,002897.SZ,红利低波,买入,0.0
2025-06-03,000963.SZ,红利低波,买入,0.0
2025-06-03,601567.SH,红利低波,买入,0.0
2025-06-03,688677.SH,红利低波,买入,0.0
2025-06-09,000963.SZ,红利低波,调仓,-1.639344262295095
2025-06-09,601567.SH,红利低波,调仓,6.84551341350601
2025-06-09,688677.SH,红利低波,调仓,-0.576923076923086
2025-06-09,300697.SZ,红利低波,买入,0.0
2025-06-09,301580.SZ,红利低波,买入,0.0
2025-06-10,301631.SZ,红利低波,止损,-31.758483913618328
2025-06-10,300697.SZ,红利低波,止损,-24.578469520103752
2025-06-10,301580.SZ,红利低波,止损,-32.18723404255318
2025-06-16,300251.SZ,红利低波,调仓,24.227093872962357
2025-06-16,000963.SZ,红利低波,买入,0.0
2025-06-16,601567.SH,红利低波,买入,0.0
2025-06-16,603379.SH,红利低波,买入,0.0
2025-06-16,600863.SH,红利低波,买入,0.0
2025-06-16,000893.SZ,红利低波,买入,0.0
2025-06-16,300015.SZ,红利低波,买入,0.0
2025-06-23,002357.SZ,红利低波,调仓,20.694444444444436
2025-06-23,600506.SH,红利低波,调仓,5.3752535496957465
2025-06-23,000963.SZ,红利低波,调仓,-8.814102564102566
2025-06-23,601567.SH,红利低波,调仓,-2.0775623268697974
2025-06-23,688169.SH,红利低波,买入,0.0
2025-06-23,301600.SZ,红利低波,买入,0.0
2025-06-23,688677.SH,红利低波,买入,0.0
2025-06-23,000088.SZ,红利低波,买入,0.0
2025-06-24,688169.SH,红利低波,止损,-28.48258706467661
2025-06-30,301600.SZ,红利低波,调仓,6.37419915300248
2025-06-30,002264.SZ,红利低波,买入,0.0
2025-06-30,000963.SZ,红利低波,买入,0.0
2025-06-30,601567.SH,红利低波,买入,0.0
2025-07-07,300529.SZ,红利低波,调仓,3.1616982836494945
2025-07-07,688786.SH,红利低波,买入,0.0
2025-07-07,300783.SZ,红利低波,买入,0.0
2025-07-07,003041.SZ,红利低波,买入,0.0
2025-07-07,001332.SZ,红利低波,买入,0.0
2025-07-14,603297.SH,红利低波,调仓,2.3228803716608626
2025-07-14,603379.SH,红利低波,调仓,-5.153374233128827
2025-07-14,301631.SZ,红利低波,买入,0.0
2025-07-14,002580.SZ,红利低波,买入,0.0
2025-07-14,300529.SZ,红利低波,买入,0.0
2025-07-21,603115.SH,红利低波,调仓,36.77811550151975
2025-07-21,601567.SH,红利低波,调仓,-2.3193577163247214
2025-07-21,688786.SH,红利低波,调仓,3.342245989304815
2025-07-21,300529.SZ,红利低波,调仓,0.48651039363112325
2025-07-21,600506.SH,红利低波,买入,0.0
2025-07-21,688775.SH,红利低波,买入,0.0
2025-07-21,002570.SZ,红利低波,买入,0.0
2025-07-21,300251.SZ,红利低波,买入,0.0
2025-07-28,600763.SH,红利低波,调仓,10.990338164251213
2025-07-28,600863.SH,红利低波,调仓,-3.1026252983293756
2025-07-28,000893.SZ,红利低波,调仓,4.877271278291362
2025-07-28,688677.SH,红利低波,调仓,10.15241539653835
2025-07-28,000963.SZ,红利低波,调仓,8.671952428146689
2025-07-28,002570.SZ,红利低波,调仓,5.528455284552836
2025-08-04,688775.SH,红利低波,调仓,1.3302130804286216
2025-08-04,300181.SZ,红利低波,买入,0.0
2025-08-04,300529.SZ,红利低波,买入,0.0
2025-08-04,603297.SH,红利低波,买入,0.0
2025-08-04,605599.SH,红利低波,买入,0.0
2025-08-11,300251.SZ,红利低波,调仓,1.5905592611595853
2025-08-11,300181.SZ,红利低波,调仓,5.592957017089595
2025-08-18,600506.SH,红利低波,调仓,15.625
2025-08-18,603297.SH,红利低波,调仓,13.873689010487912
2025-08-18,000963.SZ,红利低波,买入,0.0
2025-08-25,603551.SH,红利低波,调仓,30.2547770700637
2025-08-25,002897.SZ,红利低波,调仓,20.579554601556204
2025-08-25,003041.SZ,红利低波,调仓,5.490196078431375
2025-08-25,002357.SZ,红利低波,买入,0.0
2025-08-25,605005.SH,红利低波,买入,0.0
2025-08-25,600763.SH,红利低波,买入,0.0
2025-08-25,603066.SH,红利低波,买入,0.0
2025-09-01,002264.SZ,红利低波,调仓,20.472440944881896
2025-09-01,605599.SH,红利低波,调仓,-6.354300385109113
2025-09-01,002357.SZ,红利低波,调仓,5.555555555555558
2025-09-01,920005.BJ,红利低波,买入,0.0
2025-09-01,603551.SH,红利低波,买入,0.0
2025-09-08,001332.SZ,红利低波,调仓,13.935764833968411
2025-09-08,301631.SZ,红利低波,调仓,15.153010858835136
2025-09-08,300181.SZ,红利低波,买入,0.0
2025-09-08,002570.SZ,红利低波,买入,0.0
2025-09-08,300251.SZ,红利低波,买入,0.0
2025-09-08,605599.SH,红利低波,买入,0.0
2025-09-15,600776.SH,红利低波,调仓,37.236084452975064
2025-09-15,002580.SZ,红利低波,调仓,10.154525386313473
