trade_date,real_top2,proxy_top2,n_overlap,n_real,n_proxy
2024-10-18,603819.SH|605177.SH,603225.SH|603819.SH,1,2,2
2024-10-21,603303.SH|603819.SH,603303.SH|603819.SH,2,2,2
2024-10-22,603819.SH|603886.SH,603886.SH|605177.SH,1,2,2
2024-10-23,603599.SH|603819.SH,603886.SH|605077.SH,0,2,2
2024-10-24,601686.SH|601702.SH,601702.SH|603819.SH,1,2,2
2024-10-25,603819.SH|605116.SH,601702.SH|603886.SH,0,2,2
2024-10-28,601702.SH|605116.SH,600461.SH|601702.SH,1,2,2
2024-10-29,003028.SZ|601702.SH,003028.SZ|601702.SH,2,2,2
2024-10-30,603757.SH,603757.SH|605016.SH,1,1,2
2024-10-31,603639.SH|605177.SH,002677.SZ|603639.SH,1,2,2
2024-11-01,300218.SZ|300979.SZ,002763.SZ|300218.SZ,1,2,2
2024-11-04,002677.SZ|603058.SH,002538.SZ|603058.SH,1,2,2
2024-11-05,600235.SH|605167.SH,600235.SH|603058.SH,1,2,2
2024-11-06,600235.SH|601686.SH,600235.SH|605336.SH,1,2,2
2024-11-07,002749.SZ|600436.SH,002039.SZ|002749.SZ,1,2,2
2024-11-08,000975.SZ|605169.SH,000975.SZ|600388.SH,1,2,2
2024-11-11,002749.SZ|603639.SH,002749.SZ|603639.SH,2,2,2
2024-11-12,000543.SZ|002155.SZ,000915.SZ|002155.SZ,1,2,2
2024-11-13,000543.SZ|002270.SZ,601686.SH|605369.SH,0,2,2
2024-11-14,000600.SZ,000600.SZ|000915.SZ,1,1,2
2024-11-15,002666.SZ,002666.SZ|300005.SZ,1,1,2
2024-11-18,300979.SZ,002108.SZ|603100.SH,0,1,2
2024-11-19,000915.SZ|605555.SH,603100.SH|605555.SH,1,2,2
2024-11-20,002911.SZ|300979.SZ,002911.SZ|300979.SZ,2,2,2
2024-11-21,300979.SZ|605177.SH,300979.SZ|603100.SH,1,2,2
2024-11-22,-,600699.SH|603043.SH,0,0,2
2024-11-25,600699.SH|603100.SH,002911.SZ|605016.SH,0,2,2
2024-11-26,601689.SH,601689.SH|605555.SH,1,1,2
2024-11-27,002749.SZ|600699.SH,002749.SZ|600699.SH,2,2,2
2024-11-28,605555.SH,002749.SZ|605555.SH,1,1,2
2024-11-29,002101.SZ|605369.SH,001979.SZ|002101.SZ,1,2,2
2024-12-02,002032.SZ|600436.SH,002101.SZ|002749.SZ,0,2,2
2024-12-03,002032.SZ|002158.SZ,002032.SZ|002158.SZ,2,2,2
2024-12-04,002032.SZ|002158.SZ,002032.SZ|002158.SZ,2,2,2
2024-12-05,300979.SZ|603757.SH,002158.SZ|603757.SH,1,2,2
2024-12-06,001979.SZ|600699.SH,600699.SH|603757.SH,1,2,2
2024-12-09,002150.SZ|300979.SZ,300979.SZ|605098.SH,1,2,2
2024-12-10,002032.SZ|600699.SH,300979.SZ|605016.SH,0,2,2
2024-12-11,605016.SH|605499.SH,605016.SH|605499.SH,2,2,2
2024-12-12,600007.SH|603730.SH,600007.SH|603730.SH,2,2,2
2024-12-13,600007.SH,002422.SZ|600007.SH,1,1,2
2024-12-16,002039.SZ,002039.SZ|603948.SH,1,1,2
2024-12-17,-,002763.SZ|605189.SH,0,0,2
2024-12-18,600101.SH|603558.SH,600101.SH|603558.SH,2,2,2
2024-12-19,301329.SZ,301329.SZ|605555.SH,1,1,2
