trade_date,e_lian,e_shou,n_lian,n_shou,e_lian_exec,pct_rank
2023-05-16,0.11870757370919996,0.024870540039096962,3,21,0.11870757370919996,0.3817263326272917
2023-05-17,0.17528014622384872,0.010282904181070385,4,37,0.07850414656086255,0.5821665170418289
2023-05-18,0.11702033842588778,-0.004479922897641413,5,39,0.03633909222159239,0.4417367154049691
2023-05-19,0.18304702462086792,0.03925899222700214,6,22,0.12557990692593313,0.2873145463447501
2023-05-22,0.3330417178033574,0.005865195385514916,6,30,0.30863535082517957,0.5549940134193149
2023-05-23,0.20302267307855054,-0.03308826410399887,8,15,0.18283784268198663,0.4745595837113996
2023-05-24,0.05712114288743457,-0.015383506846058633,8,34,-0.006182225579340308,0.8224055149890248
2023-05-25,-0.10492285567217885,-0.013628632698955907,12,34,-0.11213534156409001,0.732585945260636
2023-05-26,0.00020952137740960514,0.012171341678979927,8,40,-0.048456986793651124,0.5324502293440503
2023-05-29,0.026139923058394247,-0.031175304725293305,12,26,-0.0018466416333007656,0.5200684024594594
2023-05-30,-0.10836574912892723,0.026082794034837778,10,30,-0.1749604927624813,0.5994859792582921
2023-05-31,0.006721265895665128,0.013429160982961142,9,35,-0.004201664862856375,0.4847370904710315
2023-06-01,-0.05655654746170673,0.04743113769200802,11,32,-0.07036977929984295,0.5129078411915889
2023-06-02,0.08980950689704004,0.028187685532102533,8,44,0.01667860844154482,0.4165495272295066
2023-06-05,0.06584082108867365,0.038881750305449755,6,39,0.03540050031129824,0.4551851502887037
2023-06-06,0.021214210173272005,0.005511933254498655,8,28,0.021214210173272005,0.4580721703177771
2023-06-07,-0.038368141856027986,-0.00011262576523861367,9,46,-0.01052038915968643,0.6955835944051407
2023-06-08,-0.05559207734603858,-0.039782090787537416,9,22,-0.09550435899045909,0.3542359554369017
2023-06-09,-0.022675242993838236,0.014404529779005821,8,56,-0.03611980502440847,0.7473555345792675
2023-06-12,-0.007011844036723609,0.021094416695395773,15,46,-0.030741034197004934,0.6796391841314524
2023-06-13,-0.0668532948028932,-0.024328998604238896,10,35,-0.023447184651368375,0.4883913293974358
2023-06-14,-0.11846374802982182,-0.001838836894513399,8,40,-0.11846374802982182,0.457064221904404
2023-06-15,-0.015861330920643738,0.04857251049659739,8,33,-0.11824549962424537,0.3804613683609864
2023-06-16,0.1676221440683957,-0.009732817631205181,5,47,0.1502935543658212,0.3877282359033709
2023-06-19,-0.03604541579174243,-0.06822414321026339,10,35,-0.03604541579174243,0.5418578514027167
2023-06-20,-0.03361362565418204,0.03823469995186516,5,34,-0.03361362565418204,0.3505002528981771
2023-06-21,0.0944501406029416,0.019861838202353516,5,33,0.06350534317269532,0.3088558904626396
2023-06-26,0.0800650482988812,-0.04020598998101387,10,24,0.03140310784146267,0.4862936623500691
2023-06-27,0.013183156045334404,-0.02534857185711366,10,50,0.02513994881115629,0.660081030689844
2023-06-28,-0.03677632642078814,-0.0018875479617744377,8,25,-0.029533790461486773,0.4363296541640517
2023-06-29,-0.0524903715951106,-0.028063125311626032,6,47,-0.01807519662403799,0.5678627250997857
2023-06-30,-0.1174743286270605,0.006866237179556192,5,45,-0.135546795435144,0.4482059822534115
2023-07-03,9.674656796713403e-05,-0.006525986911103113,8,34,-0.03332519917632834,0.4582159995385524
2023-07-04,0.00041059596715637314,0.0363244797554268,6,42,-0.06604995734859191,0.4427993110319078
2023-07-05,0.032705503506173524,0.01266640205289594,7,19,-0.0019338821328978538,0.2447640266609095
2023-07-06,0.08547074222748967,-0.02373994650628622,6,26,0.007292834820329293,0.5006320008215582
2023-07-07,-0.04069669907315252,0.02434673141890732,5,18,-0.16481972744031653,0.3445389763719551
2023-07-10,-0.030116766857291356,-0.02454731224966413,7,26,-0.07620742753728538,0.6206434299251775
2023-07-11,-0.062135409783699386,0.013827524399497894,7,29,-0.1015893088820067,0.4569954143485798
2023-07-12,-0.053529308810321946,-0.028272092701170683,8,23,-0.06336438308726677,0.5050655364510914
2023-07-13,-0.08035406478392207,0.010659314808538609,7,32,-0.08035406478392207,0.5886912498503555
2023-07-14,-0.06010770889175657,-0.018773872763408576,8,33,-0.06701341457848337,0.5860913071549493
2023-07-17,0.03722885970441893,-0.03134169461085766,4,24,0.03722885970441893,0.2039121972655328
2023-07-18,0.09364835124897619,-0.022314037162070036,3,15,-0.028369400468245248,0.0989515692136486
2023-07-19,0.2796090935205332,0.02695371367611078,1,19,,0.2973821771888169
2023-07-20,0.00878590141257018,-0.031830915160055644,7,22,-0.07040343685761424,0.8341819145084931
2023-07-21,0.013722881273208733,-0.007327129956213259,8,25,0.01182242023103831,0.5580955683144432
2023-07-24,0.09529433012641308,3.756338012902288e-05,4,20,0.20790486352770013,0.1725412843296445
2023-07-25,-0.0029244240741901134,0.055251596697006244,9,51,-0.12404685330017194,0.88100226632389
2023-07-26,0.045590269617309706,0.010790749340498982,13,25,0.05664462779747472,0.5799399424324077
2023-07-27,0.011263630033321224,-0.04640037578206982,7,17,0.011263630033321224,0.2952935092489604
2023-07-28,-0.012530752135974668,0.07287520057394377,4,43,-0.018302345589113485,0.5299048844407493
2023-07-31,-0.018225494450239167,-0.021647244886673578,12,34,-0.006594318961631112,0.6346553056563105
2023-08-01,-0.16101204521667956,0.012701138270725137,3,30,-0.16101204521667956,0.2534450476569093
2023-08-02,0.0048686573356295955,-0.02307964342806279,8,17,0.02963727730059538,0.3299835520865948
2023-08-03,-0.12027759005420574,-0.007410035734409263,3,20,-0.13424963104455628,0.2109032953643078
2023-08-04,-0.08549532080305718,0.005217251918734702,4,15,-0.08549532080305718,0.2046467951350531
2023-08-07,-0.029913701531913445,-0.010676087528513982,8,21,-0.029913701531913445,0.9604427162609352
2023-08-08,-0.01894703372005757,0.023144616795909834,4,28,-0.020654353928448423,0.4168699478642433
2023-08-09,0.16885646045182473,0.02908946531188479,4,17,0.021802994552471085,0.3169677234598575
2023-08-10,-0.011566919985109458,-0.020746996498913088,4,20,-0.011566919985109458,0.5856259502791883
2023-08-11,-0.03205711705024973,-0.02304898707392655,4,17,-0.03205711705024973,0.4294698216661981
2023-08-14,-0.023270490407997172,0.03991378240375672,4,21,-0.023270490407997172,0.4092425189759642
2023-08-15,0.08525606254795808,-0.07104295851938715,5,23,0.08525606254795808,0.4811662391292338
2023-08-16,-0.04141799973144862,-0.01200116091962336,4,19,-0.04141799973144862,0.3172983324237682
2023-08-17,-0.08067121551461467,0.023623974491838215,7,28,-0.1505619183996452,0.7473342869469386
2023-08-18,-0.046014875130952065,-0.061776019592582485,6,22,-0.046014875130952065,0.512847720144372
2023-08-21,-0.0072220219733517485,-0.030286673911087594,11,21,-0.022173168913728544,0.7719296718433425
2023-08-22,-0.08225453568709973,-0.0064684969238807295,6,35,-0.10339666676041417,0.6014139552324115
2023-08-23,-0.07857449259702626,-0.05320342121677341,9,26,-0.07790989821860486,0.6468827386666427
2023-08-24,-0.10813633427090603,-0.050295854479594934,8,25,-0.13297754800409226,0.5075586136211999
2023-08-25,-0.14795929465133886,-0.08985038423977715,4,18,,0.2218466625696221
2023-08-28,-0.19053891644528176,-0.09661749263657132,9,26,-0.1869538480534756,0.4939314615452449
2023-08-29,-0.026772213658919387,0.02124459756919947,7,65,-0.026772213658919387,0.6950051177170418
2023-08-30,0.05545534618512452,0.035931738057971764,9,26,0.07930182512769207,0.4833854407153562
2023-08-31,0.07023721498351797,-0.02504135829462941,8,24,0.04072687062119236,0.5920819967395557
2023-09-01,0.04047531576330614,-0.06806902191752544,5,20,-0.008378057042340167,0.2505887775648986
2023-09-04,-0.03816660223712913,-0.025403845465204904,7,41,-0.15126877124114685,0.7662002431098663
2023-09-05,0.017423329255587316,-0.04225922831706534,5,14,0.05968077904825376,0.2638215202558687
2023-09-06,0.05968620996758615,0.035166907960583374,6,31,-0.008075387495813945,0.8837602189359294
