trade_date,e20_log,e20_exec_log,n_active,n_base,cov_codes,pct_rank
2024-06-04,-0.013466185431388111,-0.027160112582781074,33,3189,1.0,0.400220356129102
2024-06-05,0.023551680552983754,0.02354429509544574,19,3218,1.0,0.1263850694031811
2024-06-06,-0.09544076695542097,-0.09621163801525101,22,3278,1.0,0.282680431083796
2024-06-07,-0.003289589826089803,-0.007473497565690157,58,3266,1.0,0.3259060248555355
2024-06-11,-0.01702094643880467,-0.009151727402059023,27,3256,1.0,0.2407572184258745
2024-06-12,-0.017221797070742034,-0.0218386030080627,48,3247,1.0,0.5188275777790393
2024-06-13,-0.04284581885325176,-0.049716238836087175,44,3261,1.0,0.3303813340792845
2024-06-14,-0.047762732322124295,-0.045519039307328125,25,3261,1.0,0.2315355728530646
2024-06-17,0.022092611432315924,0.026325915091508296,24,3267,1.0,0.2619732633982476
2024-06-18,-0.05067645854697482,-0.05151376052720648,47,3253,1.0,0.4706261858437951
2024-06-19,-0.024581944639695416,-0.015974906862638014,40,3261,1.0,0.3823109913829483
2024-06-20,-0.10555376202531004,-0.11612668842467154,33,3289,1.0,0.3472819926594253
2024-06-21,-0.08572692295041813,-0.0838019103002793,34,3295,1.0,0.3148048487679972
2024-06-24,-0.09742736388103254,-0.09322542449857005,21,3346,1.0,0.2042400533193585
2024-06-25,-0.043012636112255115,-0.04854505831833936,57,3343,1.0,0.3751275154051669
2024-06-26,-0.03206567815483405,-0.02215049230462067,50,3312,1.0,0.3903061475691616
2024-06-27,-0.08832956821684353,-0.08578865216017735,30,3341,1.0,0.2566108262157128
2024-06-28,-0.030701888761806774,-0.04738366889107778,34,3332,1.0,0.1582540291002797
2024-07-01,-0.08484173407521098,-0.07675894541523123,38,3314,1.0,0.2560591692724971
2024-07-02,-0.04164339360465274,-0.05401062683398045,48,3319,1.0,0.4105236794355215
2024-07-03,-0.04403128688167428,-0.032071013704917745,33,3333,1.0,0.2845399684094348
2024-07-04,-0.06465419764629385,-0.05382400734067308,16,3368,1.0,0.1530674246171403
2024-07-05,-0.045058189332359014,-0.0434894534627367,36,3356,1.0,0.3968674615820753
2024-07-08,-0.11814206131084712,-0.11290319762213431,19,3390,1.0,0.127968549370047
2024-07-09,-0.06781575923670013,-0.08326999678187015,49,3365,1.0,0.4438823774280782
2024-07-10,-0.03154190390349263,-0.04548044529030065,40,3373,1.0,0.2177477146500415
2024-07-11,0.03630651742491105,0.02674182807312516,75,3333,1.0,0.4193965395777841
2024-07-12,0.004122751598031254,0.00753005798921137,33,3333,1.0,0.2476437247465684
2024-07-15,-0.02937763568627136,-0.034222681239742585,28,3354,1.0,0.2397679682515482
2024-07-16,0.017745080931481718,0.01623712257172245,32,3350,1.0,0.2786697784772016
2024-07-17,-0.10465488135951023,-0.10062541802020497,34,3365,1.0,0.4023869816009097
2024-07-18,-0.024190646070844063,-0.02703766989983481,39,3365,1.0,0.3065297376089967
2024-07-19,-0.042206603194491016,-0.04019597886750281,42,3353,1.0,0.343200996202212
2024-07-22,0.022414867311415086,0.013748873120255061,43,3350,1.0,0.2970175376919026
2024-07-23,0.0004936869310863522,-0.017932559407432474,40,3379,1.0,0.2944899842601689
2024-07-24,-0.04545510837032081,-0.09140554108677569,30,3406,1.0,0.2898757580494708
2024-07-25,-0.05309086610513497,-0.05069316370050074,43,3398,1.0,0.350533112719513
2024-07-26,-0.029142211465308057,-0.04849874957431728,62,3377,1.0,0.4200842327559133
2024-07-29,-0.046962497546088534,-0.06269273611900147,68,3377,1.0,0.5515139388339324
2024-07-30,-0.09312852962684436,-0.08923289996099161,62,3366,1.0,0.4762990058183023
2024-07-31,-0.048264088114220255,-0.048426812702338395,85,3320,1.0,0.4218604252683582
2024-08-01,-0.08982109837017802,-0.09102102444727633,59,3324,1.0,0.4468879076886118
2024-08-02,-0.11446388016117262,-0.11595733074494355,46,3343,1.0,0.3752472309842933
2024-08-05,-0.12857472078958448,-0.12980823991694784,46,3376,1.0,0.4147164994760414
2024-08-06,-0.0928515952628027,-0.10409841211150424,59,3346,1.0,0.4444114152641316
2024-08-07,-0.09144662003158704,-0.08687680959899094,49,3348,1.0,0.3443921752397169
2024-08-08,-0.09450158800739461,-0.08765506428463934,45,3348,1.0,0.2470042747505568
2024-08-09,-0.06438312891020335,-0.06426798552299638,32,3358,1.0,0.1818080726510858
2024-08-12,-0.10294655706647654,-0.10202142065059944,31,3372,1.0,0.1370178278154294
2024-08-13,-0.04497592259963977,-0.0316770935799051,38,3370,1.0,0.2892255111640017
2024-08-14,-0.09330995090206501,-0.10103228362548908,36,3376,1.0,0.3263948270917028
2024-08-15,-0.0326253414230058,-0.0331001664442372,47,3362,1.0,0.4082519369262483
2024-08-16,-0.04234305166186188,-0.0696361761869087,40,3364,1.0,0.3232541217561274
2024-08-19,-0.00479612247069295,-0.03265912485393883,42,3365,1.0,0.3144280836845492
2024-08-20,-0.019452506300474997,-0.05679837231128626,27,3389,1.0,0.179432957938717
2024-08-21,-0.02827607794411359,-0.05968469793039984,39,3393,1.0,0.3697980188047672
2024-08-22,-0.03621155880262064,-0.06934078548475026,28,3415,1.0,0.1844408630423328
2024-08-23,-0.027407124236854218,-0.040560123684638856,41,3413,1.0,0.3052905254907785
2024-08-26,-0.04187433853937635,-0.04757111516187068,44,3411,1.0,0.3877325188480752
2024-08-27,-0.10612199957508689,-0.10084068869783451,31,3431,1.0,0.2950290838776448
2024-08-28,-0.03273625102686496,-0.023322404045294884,38,3426,1.0,0.3316697139460852
2024-08-29,-0.07567212991315206,-0.07277747745052937,47,3406,1.0,0.4141839527746766
2024-08-30,-0.03406692766317315,-0.02796746803959277,62,3374,1.0,0.3236437012858802
2024-09-02,-0.04029436652864085,-0.04600126196270607,32,3395,1.0,0.144320997499185
2024-09-03,-0.04793145702547777,-0.043231316771956685,42,3380,1.0,0.4037869195248852
2024-09-04,-0.11849270919004169,-0.11974777406137149,39,3395,1.0,0.5004372995956491
2024-09-05,-0.09702139642872666,-0.08991494657384515,50,3376,1.0,0.4706923926012007
2024-09-06,-0.09888579910436296,-0.05830458858021362,32,3413,1.0,0.3084454930709513
2024-09-09,-0.06529879536225619,-0.07785963635982457,51,3419,1.0,0.4059744546248959
2024-09-10,-0.025156891165793532,-0.031250681897363825,41,3412,1.0,0.2797821979789373
2024-09-11,-0.05112002411286656,-0.10891699992302212,31,3414,1.0,0.244584993784316
2024-09-12,0.04106149689081906,0.0029479951749827316,36,3420,1.0,0.3634051449545694
2024-09-13,-0.016199192202953072,-0.046239768356450106,42,3438,1.0,0.4054392570996936
2024-09-18,0.04233954670932277,-0.01836504958023677,27,3437,1.0,0.230998523822676
2024-09-19,0.03657309200305969,-0.03295848641411764,60,3400,1.0,0.4541212325531188
