BP,reversal,lowvol,ROE,IC均值,ICIR,IC>0占比
0.30000000000000004,0.45,0.2,0.05,0.09008320185496452,0.7200124956468993,0.75
0.30000000000000004,0.5,0.2,0.0,0.08809528513362837,0.7199214735199904,0.75
0.05,0.7000000000000001,0.25,0.0,0.08129183080139908,0.7199189806536692,0.74
0.15000000000000002,0.4,0.2,0.25,0.08762476281586377,0.7198164612006807,0.75
0.0,0.65,0.30000000000000004,0.05,0.08194295478773966,0.7196007529536846,0.75
0.0,0.45,0.45,0.1,0.08801283447299574,0.7195867112641113,0.74
0.0,0.55,0.25,0.2,0.08133260930256472,0.7195506078497749,0.73
0.15000000000000002,0.5,0.1,0.25,0.08124613973190789,0.7194781506560809,0.75
0.35000000000000003,0.55,0.05,0.05,0.0819940120388852,0.7193417831284107,0.73
0.25,0.6000000000000001,0.05,0.1,0.08018712339369184,0.719266370617884,0.75
0.15000000000000002,0.7000000000000001,0.15000000000000002,0.0,0.08039305251100418,0.7190291070429473,0.75
0.30000000000000004,0.45,0.05,0.2,0.08330294127589292,0.7189374562801041,0.75
0.15000000000000002,0.6000000000000001,0.1,0.15000000000000002,0.08057866704205266,0.7189173576245633,0.74
0.35000000000000003,0.45,0.1,0.1,0.087023908315193,0.7188969227791747,0.71
0.05,0.55,0.2,0.2,0.08169698567553357,0.7188832312023777,0.74
0.2,0.65,0.1,0.05,0.08046310301432108,0.7187915091882119,0.76
0.0,0.5,0.5,0.0,0.08708487431645161,0.7187242965261399,0.74
0.05,0.45,0.45,0.05,0.08980795380485697,0.7185529236676961,0.75
0.30000000000000004,0.6000000000000001,0.1,0.0,0.08193049239309208,0.7185439243534999,0.77
0.1,0.55,0.15000000000000002,0.2,0.0816559662863375,0.7184737370014594,0.74
0.35000000000000003,0.45,0.05,0.15000000000000002,0.08437019937167003,0.717633869360642,0.73
0.05,0.45,0.25,0.25,0.08425766818672742,0.7174858503225836,0.72
0.25,0.65,0.1,0.0,0.08041841550015803,0.7171059246386835,0.76
0.0,0.7000000000000001,0.30000000000000004,0.0,0.08109950333805598,0.7169918352756697,0.74
0.1,0.5,0.15000000000000002,0.25,0.08174395621556795,0.716890880602178,0.74
0.25,0.4,0.25,0.1,0.09261106149851933,0.7167879131889145,0.75
0.35000000000000003,0.55,0.1,0.0,0.08352150768373821,0.7166794955376926,0.77
0.1,0.4,0.35000000000000003,0.15000000000000002,0.09134649845068915,0.7166338288145745,0.75
0.30000000000000004,0.6000000000000001,0.05,0.05,0.08022693804262375,0.7165559771859772,0.74
0.35000000000000003,0.5,0.0,0.15000000000000002,0.0803219309845535,0.716546023986525,0.73
0.30000000000000004,0.4,0.15000000000000002,0.15000000000000002,0.08992662876160466,0.7165340499898745,0.75
0.1,0.4,0.30000000000000004,0.2,0.08968880808244462,0.7165187538198327,0.73
0.05,0.6000000000000001,0.2,0.15000000000000002,0.08129121678262985,0.7164647043585645,0.75
0.1,0.6000000000000001,0.15000000000000002,0.15000000000000002,0.08099155449995094,0.7163225839332239,0.74
0.2,0.55,0.05,0.2,0.07939868976496922,0.7161413590595209,0.75
0.0,0.6000000000000001,0.25,0.15000000000000002,0.08086208420865054,0.715989297818975,0.73
0.15000000000000002,0.45,0.4,0.0,0.09117369983655013,0.7159162062743418,0.76
0.1,0.65,0.15000000000000002,0.1,0.08042531662803772,0.7158738521391096,0.74
0.25,0.45,0.30000000000000004,0.0,0.09125516997196575,0.7157046098885183,0.76
0.2,0.45,0.35000000000000003,0.0,0.09138340471269023,0.7156545738174837,0.75
0.2,0.4,0.30000000000000004,0.1,0.09289869732357994,0.7152234124199173,0.75
0.1,0.4,0.25,0.25,0.08719933696198909,0.7148050784136782,0.74
