rebalance_date,stock_code,weight,raw_score,industry,circ_mv
2024-05-31,002040.SZ,0.012499999999999999,110.99900661255846,港口,293283.8808
2024-05-31,300434.SZ,0.012499999999999999,102.91781715396134,化学制药,285569.4435
2024-05-31,600731.SH,0.012499999999999999,99.55622559824624,农药化肥,283120.1292
2024-05-31,688357.SH,0.012499999999999999,98.85186820112219,化工原料,283165.2324
2024-05-31,603020.SH,0.012499999999999999,98.29865464888846,食品,279380.3372
2024-05-31,603808.SH,0.012499999999999999,93.6925156585797,服饰,279772.4015
2024-05-31,603817.SH,0.012499999999999999,93.2938969873091,环境保护,287484.6078
2024-05-31,600638.SH,0.012499999999999999,92.39195907105315,区域地产,282826.6501
2024-05-31,300695.SZ,0.012499999999999999,90.51231133497798,汽车配件,280527.6438
2024-05-31,603856.SH,0.012499999999999999,90.27485552399048,塑料,277440.5972
2024-05-31,600784.SH,0.012499999999999999,86.6091894366232,综合类,296020.6578
2024-05-31,603116.SH,0.012499999999999999,81.87409964181964,服饰,282338.392
2024-05-31,300439.SZ,0.012499999999999999,80.88792890365794,医疗保健,293757.434
2024-05-31,600354.SH,0.012499999999999999,69.76253390336984,种植业,277623.8941
2024-05-31,603948.SH,0.012499999999999999,68.2587307411441,化工原料,295105.8
2024-05-31,600419.SH,0.012499999999999999,68.16238947271671,乳制品,297136.5483
2024-05-31,002889.SZ,0.012499999999999999,64.00422347978233,仓储物流,283566.2585
2024-05-31,002224.SZ,0.012499999999999999,62.67413645763589,橡胶,277593.3335
2024-05-31,600613.SH,0.012499999999999999,62.25713814250731,中成药,296699.0664
2024-05-31,300873.SZ,0.012499999999999999,61.27161023137345,仓储物流,277383.8437
2024-05-31,002412.SZ,0.012499999999999999,57.20995818017214,中成药,293230.705
2024-05-31,600830.SH,0.012499999999999999,56.230096755589564,多元金融,282134.4259
2024-05-31,300140.SZ,0.012499999999999999,52.30218949521617,环境保护,288755.686
2024-05-31,300969.SZ,0.012499999999999999,51.12380524717377,汽车配件,298961.2249
2024-05-31,002457.SZ,0.012499999999999999,50.14583966151657,塑料,282259.0337
2024-05-31,002328.SZ,0.012499999999999999,47.982748355242954,汽车配件,294116.2021
2024-05-31,002990.SZ,0.012499999999999999,47.37635316815364,软件服务,283772.6955
2024-05-31,301175.SZ,0.012499999999999999,46.98847454955356,环境保护,296860.7421
2024-05-31,300196.SZ,0.012499999999999999,46.27756040305398,玻璃,289721.9284
2024-05-31,003020.SZ,0.012499999999999999,46.23386233972721,化学制药,287653.633
2024-05-31,603095.SH,0.012499999999999999,44.549007045337966,纺织机械,279048.0
2024-05-31,301206.SZ,0.012499999999999999,40.342654356633744,食品,288802.5954
2024-05-31,003016.SZ,0.012499999999999999,38.93443373628723,服饰,297331.5202
2024-05-31,300425.SZ,0.012499999999999999,38.91975285359416,环境保护,294968.7615
2024-05-31,600527.SH,0.012499999999999999,37.81115083001506,化纤,284008.7879
2024-05-31,688468.SH,0.012499999999999999,37.78991776294502,医疗保健,292407.732
2024-05-31,002790.SZ,0.012499999999999999,37.59693365562,家居用品,296399.2009
2024-05-31,603949.SH,0.012499999999999999,32.093985367325736,汽车配件,283103.3543
2024-05-31,300718.SZ,0.012499999999999999,31.620747992080478,机械基件,283312.1902
2024-05-31,002565.SZ,0.012499999999999999,31.272591684146516,造纸,294521.0987
2024-05-31,603066.SH,0.012499999999999999,30.482670521522266,仓储物流,299500.0884
2024-05-31,601599.SH,0.012499999999999999,30.461054274694426,纺织,287457.4384
2024-05-31,300488.SZ,0.012499999999999999,30.16983402662164,机械基件,298272.0314
2024-05-31,300504.SZ,0.012499999999999999,29.510871173100696,通信设备,284374.7148
2024-05-31,603115.SH,0.012499999999999999,26.940147481141498,铝,293976.8
2024-05-31,688551.SH,0.012499999999999999,26.91303013027361,专用机械,290715.7294
2024-05-31,600679.SH,0.012499999999999999,24.636389965796496,文教休闲,284006.3357
2024-05-31,002783.SZ,0.012499999999999999,24.52792303423404,化工原料,276117.2722
2024-05-31,002560.SZ,0.012499999999999999,22.3185287629271,电气设备,287154.8634
2024-05-31,300858.SZ,0.012499999999999999,21.123856977367357,食品,279932.7699
2024-05-31,300231.SZ,0.012499999999999999,16.993027287421775,软件服务,282036.729
2024-05-31,300248.SZ,0.012499999999999999,16.01238867461301,软件服务,283953.1251
2024-05-31,300545.SZ,0.012499999999999999,15.550743132026968,专用机械,275024.612
2024-05-31,301325.SZ,0.012499999999999999,15.304975379378533,专用机械,286405.0809
2024-05-31,002186.SZ,0.012499999999999999,14.437139375909421,酒店餐饮,297834.9795
2024-05-31,688633.SH,0.012499999999999999,14.25149542025148,专用机械,277436.6027
2024-05-31,301382.SZ,0.012499999999999999,12.47101284733386,互联网,277122.9092
2024-05-31,300099.SZ,0.012499999999999999,9.891783492393198,电器仪表,295357.4179
2024-05-31,002584.SZ,0.012499999999999999,5.827323188401593,化工原料,278957.2084
2024-05-31,002692.SZ,0.012499999999999999,3.860739273539552,电气设备,285822.108
2024-05-31,301363.SZ,0.012499999999999999,1.8137071198653445,医疗保健,284886.4
2024-05-31,001269.SZ,0.012499999999999999,1.4626276859473488,矿物制品,288836.7819
2024-05-31,002631.SZ,0.012499999999999999,-4.048212345211422,家居用品,290795.3602
2024-05-31,688478.SH,0.012499999999999999,-5.651257425459801,半导体,278152.4829
